data,value
0.0,0.0
0.125,0.0
0.25,0.0
0.375,0.0
0.5,0.0
0.625,0.0
0.75,0.0
0.875,0.0
1.0,0.0
1.125,0.0
1.25,0.0
1.375,0.0
1.5,0.0
1.625,0.0
1.75,0.0
1.875,0.0
2.0,1.0
2.125,0.0
2.25,0.0
2.375,0.0
2.5,0.0
2.625,0.0
2.75,0.0
2.875,0.0
3.0,0.0
3.125,0.0
3.25,0.0
3.375,0.0
3.5,0.0
3.625,0.0
3.75,0.0
3.875,0.0
4.0,0.0
4.125,0.0
4.25,0.0
4.375,0.0
4.5,0.0
4.625,0.0
4.75,0.0
4.875,0.0
5.0,0.0
5.125,0.0
5.25,0.0
5.375,0.0
5.5,0.0
5.625,0.0
5.75,0.0
5.875,0.0
6.0,0.0
6.125,0.0
6.25,0.0
6.375,0.0
6.5,0.0
6.625,0.0
6.75,0.0
6.875,0.0
7.0,0.0
7.125,0.0
7.25,0.0
7.375,0.0
7.5,0.0
7.625,0.0
7.75,0.0
7.875,0.0
