data,value
0.0,0.0
0.0714,0.0
0.1429,0.0
0.2143,0.0
0.2857,0.0
0.3571,0.0
0.4286,0.0
0.5,0.0
0.5714,0.0
0.6429,0.0
0.7143,0.0
0.7857,0.0
0.8571,0.0
0.9286,0.0
1.0,0.0
1.0714,0.0
1.1429,0.0
1.2143,0.0
1.2857,0.0
1.3571,0.0
1.4286,0.0
1.5,0.0
1.5714,0.0
1.6429,0.0
1.7143,0.0
1.7857,0.0
1.8571,0.0
1.9286,0.0
2.0,1.0
2.0714,0.0
2.1429,0.0
2.2143,0.0
2.2857,0.0
2.3571,0.0
2.4286,0.0
2.5,0.0
2.5714,0.0
2.6429,0.0
2.7143,0.0
2.7857,0.0
2.8571,0.0
2.9286,0.0
3.0,0.0
3.0714,0.0
3.1429,0.0
3.2143,0.0
3.2857,0.0
3.3571,0.0
3.4286,0.0
3.5,0.0
3.5714,0.0
3.6429,0.0
3.7143,0.0
3.7857,0.0
3.8571,0.0
3.9286,0.0
4.0,0.0
4.0714,0.0
4.1429,0.0
4.2143,0.0
4.2857,0.0
4.3571,0.0
4.4286,0.0
4.5,0.0
4.5714,0.0
4.6429,0.0
4.7143,0.0
4.7857,0.0
4.8571,0.0
4.9286,0.0
5.0,0.0
5.0714,0.0
5.1429,0.0
5.2143,0.0
5.2857,0.0
5.3571,0.0
5.4286,0.0
5.5,0.0
5.5714,0.0
5.6429,0.0
5.7143,0.0
5.7857,0.0
5.8571,0.0
5.9286,0.0
6.0,0.0
6.0714,0.0
6.1429,0.0
6.2143,0.0
6.2857,0.0
6.3571,0.0
6.4286,0.0
6.5,0.0
6.5714,0.0
6.6429,0.0
6.7143,0.0
6.7857,0.0
6.8571,0.0
6.9286,0.0
7.0,0.0
7.0714,0.0
7.1429,0.0
7.2143,0.0
7.2857,0.0
7.3571,0.0
7.4286,0.0
7.5,0.0
7.5714,0.0
7.6429,0.0
7.7143,0.0
7.7857,0.0
7.8571,0.0
7.9286,0.0
