date,value
2014-01-22,105.56253001657804
2014-01-23,102.40556672160956
2014-01-24,109.65179876796924
2014-01-25,76.75684498964513
2014-01-26,104.60034656928532
2014-01-27,106.52141742235547
2014-01-28,89.23499537477429
2014-01-29,100.88040041750271
2014-01-30,94.5014763746479
2014-01-31,111.06828476925891
2014-02-01,110.12854140699419
2014-02-02,104.11975401395297
2014-02-03,88.56572895483198
2014-02-04,109.651605509643
2014-02-05,103.97552584140823
2014-02-06,103.91103954460249
2014-02-07,124.22605447552229
2014-02-08,102.13093316710697
2014-02-09,109.66784790602937
2014-02-10,97.81141149687117
2014-02-11,98.76153888542238
2014-02-12,101.05679328968266
2014-02-13,90.53104696071198
2014-02-14,106.92327540044602
2014-02-15,100.11006293520003
2014-02-16,90.73286961585603
2014-02-17,85.76735601996717
2014-02-18,89.26660367624167
2014-02-19,89.73658313892984
2014-02-20,99.03528762175377
2014-02-21,102.12136642298121
2014-02-22,86.37399125212421
2014-02-23,91.99931519410623
2014-02-24,111.20710995352633
2014-02-25,111.54541233486984
2014-02-26,84.35134975901555
2014-02-27,120.72925640360789
2014-02-28,89.78968392775106
2014-03-01,99.21622865409039
2014-03-02,91.21173187935838
2014-03-03,103.41007338613196
2014-03-04,110.05918785566534
2014-03-05,90.82615200661967
2014-03-06,106.88598047214859
2014-03-07,103.9027490415524
2014-03-08,107.46588512167668
2014-03-09,112.63266152274805
2014-03-10,104.66001401122078
2014-03-11,115.84802445148742
2014-03-12,103.33851804950581
2014-03-13,92.78045826867131
2014-03-14,115.02266212825165
2014-03-15,102.86186986503114
2014-03-16,93.18789462121012
2014-03-17,100.65890973402148
2014-03-18,92.87633088282635
2014-03-19,80.82031689444621
2014-03-20,110.65015610590926
2014-03-21,98.95740828407331
2014-03-22,110.6578846022112
2014-03-23,98.90208866902451
2014-03-24,113.9683468122758
2014-03-25,79.9291120714695
2014-03-26,91.04253062602429
2014-03-27,94.34541618305286
2014-03-28,102.01673232471603
2014-03-29,101.45961274602793
2014-03-30,106.03603657475931
2014-03-31,92.27847084491322
2014-04-01,103.59929759982575
2014-04-02,104.06143690132413
2014-04-03,99.86098707602015
2014-04-04,114.77185683011325
2014-04-05,93.02553795732058
2014-04-06,102.98862720027657
2014-04-07,104.49198550401435
2014-04-08,93.31527277076579
2014-04-09,106.75731453162297
2014-04-10,105.53446798053278
2014-04-11,99.16570335637115
2014-04-12,94.89905757316899
2014-04-13,89.60580764749653
2014-04-14,106.74492598326954
2014-04-15,98.0898851470816
2014-04-16,95.92573183908175
2014-04-17,107.58238004906748
2014-04-18,122.19486624437249
2014-04-19,111.3164565188359
2014-04-20,110.02082539827899
2014-04-21,100.89903312989723
2014-04-22,106.67106319382833
2014-04-23,93.49899516596216
2014-04-24,95.93008735036969
2014-04-25,100.56236300787606
2014-04-26,94.76325042485719
2014-04-27,79.99912607650934
2014-04-28,112.06720819892024
2014-04-29,97.19210187627598
2014-04-30,99.32893518338672
2014-05-01,113.37862371342364
2014-05-02,110.76476026890766
2014-05-03,87.38905688898323
2014-05-04,94.13122075790184
2014-05-05,89.59291986905757
2014-05-06,102.85903330930336
2014-05-07,97.50768767982989
2014-05-08,90.41053345884822
2014-05-09,94.87239007273838
2014-05-10,85.66311447164597
2014-05-11,106.52934231277182
2014-05-12,96.48427612812706
2014-05-13,98.06795581814987
2014-05-14,102.49922048103562
2014-05-15,90.7442688108286
2014-05-16,102.08660454269544
2014-05-17,87.16542541620133
2014-05-18,95.38195139489775
2014-05-19,92.832666548324
2014-05-20,114.29700974215197
2014-05-21,102.91819130614019
2014-05-22,92.38974450217098
2014-05-23,91.9489339967489
2014-05-24,109.58003052663486
2014-05-25,112.07974541538093
2014-05-26,102.87260262842577
2014-05-27,83.18145566953999
2014-05-28,95.95247209873556
2014-05-29,110.26564719649652
2014-05-30,111.39331953053372
2014-05-31,90.76285180256197
2014-06-01,104.64733372089361
2014-06-02,103.73816703407844
2014-06-03,86.71566242482491
2014-06-04,94.47912652243119
2014-06-05,107.23239228403033
