data,value
0.0,0.0
0.1667,0.0
0.3333,0.0
0.5,0.0
0.6667,0.0
0.8333,0.0
1.0,0.0
1.1667,0.0
1.3333,0.0
1.5,0.0
1.6667,0.0
1.8333,0.0
2.0,1.0
2.1667,0.0
2.3333,0.0
2.5,0.0
2.6667,0.0
2.8333,0.0
3.0,0.0
3.1667,0.0
3.3333,0.0
3.5,0.0
3.6667,0.0
3.8333,0.0
4.0,0.0
4.1667,0.0
4.3333,0.0
4.5,0.0
4.6667,0.0
4.8333,0.0
5.0,0.0
5.1667,0.0
5.3333,0.0
5.5,0.0
5.6667,0.0
5.8333,0.0
6.0,0.0
6.1667,0.0
6.3333,0.0
6.5,0.0
6.6667,0.0
6.8333,0.0
7.0,0.0
7.1667,0.0
7.3333,0.0
7.5,0.0
7.6667,0.0
7.8333,0.0
